,luminosity bin center,neutral fraction,No. of LAEs pre-IGM for z = 5.5-5.775,No. of LAEs post-IGM for z = 5.5-5.775,No. of LAEs pre-IGM for z = 5.8-6.075,No. of LAEs post-IGM for z = 5.8-6.075,No. of LAEs pre-IGM for z = 6.1-6.375,No. of LAEs post-IGM for z = 6.1-6.375,No. of LAEs pre-IGM for z = 6.4-6.675,No. of LAEs post-IGM for z = 6.4-6.675,No. of LAEs pre-IGM for z = 6.7-6.975,No. of LAEs post-IGM for z = 6.7-6.975,No. of LAEs pre-IGM for z = 7.0-7.275,No. of LAEs post-IGM for z = 7.0-7.275,No. of LAEs pre-IGM for z = 7.3-7.575,No. of LAEs post-IGM for z = 7.3-7.575,No. of LAEs pre-IGM for z = 7.6-7.875,No. of LAEs post-IGM for z = 7.6-7.875,No. of LAEs pre-IGM for z = 7.9-8.175,No. of LAEs post-IGM for z = 7.9-8.175,No. of LAEs pre-IGM for z = 8.2-8.475,No. of LAEs post-IGM for z = 8.2-8.475,No. of LAEs pre-IGM for z = 8.5-8.775,No. of LAEs post-IGM for z = 8.5-8.775,No. of LAEs pre-IGM for z = 8.8-9.075,No. of LAEs post-IGM for z = 8.8-9.075,No. of LAEs pre-IGM for z = 9.1-9.375,No. of LAEs post-IGM for z = 9.1-9.375,No. of LAEs pre-IGM for z = 9.4-9.675,No. of LAEs post-IGM for z = 9.4-9.675,No. of LAEs pre-IGM for z = 9.7-9.85,No. of LAEs post-IGM for z = 9.7-9.85
0,42.2,0.025,1671.0,1709.0,1300.0,1343.0,980.0,1010.0,673.0,628.0,504.0,462.0,456.0,378.0,308.0,200.0,266.0,126.0,186.0,79.0,164.0,73.0,94.0,38.0,79.0,23.0,32.0,6.0,43.0,7.0,11.0,2.0
1,42.6,0.092,1120.0,1095.0,845.0,795.0,604.0,507.0,389.0,256.0,350.0,198.0,272.0,143.0,199.0,69.0,143.0,49.0,91.0,34.0,99.0,27.0,56.0,9.0,32.0,6.0,17.0,2.0,16.0,2.0,7.0,0.0
2,43.0,0.229,448.0,437.0,301.0,282.0,223.0,182.0,141.0,92.0,98.0,62.0,89.0,38.0,51.0,23.0,30.0,11.0,37.0,6.0,25.0,4.0,8.0,1.0,8.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0
3,43.4,0.469,128.0,127.0,95.0,90.0,67.0,52.0,34.0,16.0,35.0,19.0,16.0,7.0,11.0,6.0,8.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,43.8,0.589,30.0,27.0,21.0,19.0,11.0,9.0,9.0,7.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,44.199999999999996,0.627,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.599999999999994,0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,,0.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,0.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,0.918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,0.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
